                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51316,                0.54655,                 1.0083,                0.73208,                0.78723,                0.84035,                0.68635,                0.72202,                 1.0007,                 1.1512,                 0.0002,                 0.0002,                 0.0002
                      2,                0.49616,                0.52972,                 1.0004,                0.84056,                0.87234,                0.88472,                0.70308,                0.71433,                0.91079,                 1.1938,             0.00040337,             0.00040337,             0.00040337
                      3,                0.46175,                 0.4794,                0.98119,                0.85245,                0.86058,                0.88346,                0.78003,                0.67656,                0.75944,                 1.1712,             0.00058931,             0.00058931,             0.00058931
                      4,                0.50438,                0.50496,                0.99172,                0.80238,                0.89362,                0.89327,                0.67902,                 0.8055,                 0.9458,                 1.2476,             0.00075783,             0.00075783,             0.00075783
                      5,                0.51126,                0.49684,                0.98994,                0.88597,                0.82662,                0.89039,                0.74099,                0.71666,                0.85044,                 1.1969,             0.00090893,             0.00090893,             0.00090893
                      6,                0.47753,                0.45664,                0.97164,                0.85019,                0.89362,                0.89848,                 0.7534,                0.64416,                0.86121,                 1.1443,              0.0010426,              0.0010426,              0.0010426
                      7,                0.46851,                0.48793,                0.96016,                  0.776,                0.80851,                0.76936,                 0.6199,                0.73862,                 1.0868,                 1.1683,              0.0011588,              0.0011588,              0.0011588
                      8,                 0.4808,                0.49168,                 0.9733,                0.73666,                0.76596,                0.82028,                0.66049,                0.75009,                0.95531,                 1.1769,              0.0012577,              0.0012577,              0.0012577
                      9,                 0.5042,                0.50739,                0.99251,                0.84122,                0.82979,                0.85123,                0.65954,                0.80901,                 0.9996,                 1.2565,              0.0013391,              0.0013391,              0.0013391
                     10,                0.47864,                0.44095,                0.97991,                0.80258,                0.82979,                 0.8271,                0.66688,                0.76511,                0.96783,                 1.2644,              0.0012872,              0.0012872,              0.0012872
                     11,                 0.4805,                0.48088,                0.98662,                0.82678,                0.81247,                0.85209,                0.72591,                0.72908,                0.98344,                 1.1883,               0.001208,               0.001208,               0.001208
                     12,                0.47405,                0.47029,                0.99536,                0.74511,                0.80857,                0.84684,                0.70234,                0.68561,                 1.0956,                 1.1699,              0.0011288,              0.0011288,              0.0011288
                     13,                0.45781,                0.44948,                0.98021,                 0.8086,                0.85106,                0.86544,                0.73964,                0.63198,                0.93371,                 1.1013,              0.0010496,              0.0010496,              0.0010496
                     14,                0.44394,                0.42959,                0.96898,                0.80216,                0.87234,                0.87536,                0.73945,                0.66829,                0.82354,                 1.1509,              0.0009704,              0.0009704,              0.0009704
                     15,                0.44063,                0.41719,                0.97989,                0.80183,                0.89362,                0.83653,                 0.7293,                0.68717,                0.70834,                 1.2236,              0.0008912,              0.0008912,              0.0008912
                     16,                0.44289,                0.59647,                 1.0057,                0.89395,                0.91489,                0.87268,                0.78469,                0.63153,                0.84298,                 1.2053,               0.000812,               0.000812,               0.000812
                     17,                0.37103,                0.47446,                0.93472,                 0.9156,                0.92335,                0.92444,                0.78218,                0.63265,                0.84021,                 1.1565,              0.0007328,              0.0007328,              0.0007328
                     18,                0.39443,                 0.4236,                 0.9573,                0.97665,                0.89011,                0.94345,                0.82797,                0.52753,                0.68416,                 1.0423,              0.0006536,              0.0006536,              0.0006536
                     19,                0.36304,                0.38502,                0.92352,                0.97702,                0.90477,                0.95947,                0.85352,                0.54151,                0.60324,                  1.058,              0.0005744,              0.0005744,              0.0005744
                     20,                0.37676,                0.37935,                0.95521,                0.89993,                0.95745,                0.96669,                0.84904,                 0.5035,                0.51736,                 1.0294,              0.0004952,              0.0004952,              0.0004952
                     21,                0.34447,                0.37025,                0.92211,                0.93648,                0.95745,                0.95883,                0.86021,                0.49133,                0.49264,                 1.0419,               0.000416,               0.000416,               0.000416
                     22,                0.33842,                0.34461,                0.91508,                0.91692,                0.95745,                0.95367,                0.85956,                0.49289,                0.44904,                 1.0585,              0.0003368,              0.0003368,              0.0003368
                     23,                0.31731,                0.32594,                0.88008,                0.87979,                0.95745,                0.95282,                 0.8518,                 0.5065,                0.46035,                 1.0514,              0.0002576,              0.0002576,              0.0002576
                     24,                0.30551,                 0.3109,                0.89564,                0.88008,                0.95745,                0.95271,                0.82411,                0.51687,                0.45869,                 1.0567,              0.0001784,              0.0001784,              0.0001784
                     25,                0.32195,                0.33239,                0.91599,                 0.8807,                0.95745,                0.95548,                0.83616,                0.51239,                0.45066,                 1.0512,               9.92e-05,               9.92e-05,               9.92e-05
