                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42375,                0.37239,                0.95551,                0.83651,                0.91489,                0.89777,                0.76251,                0.59324,                0.63857,                 1.0969,               0.001307,               0.001307,               0.001307
                     37,                0.44016,                0.36651,                0.96525,                0.86262,                0.93617,                0.92318,                0.78564,                0.60493,                0.58801,                 1.0942,              0.0012872,              0.0012872,              0.0012872
                     38,                0.43073,                0.36694,                0.95872,                0.89857,                0.78723,                0.91374,                0.77427,                0.64284,                0.69131,                 1.0975,              0.0012674,              0.0012674,              0.0012674
                     39,                0.40632,                0.34824,                0.96298,                0.87494,                0.74425,                0.84859,                0.71792,                0.59163,                0.80998,                 1.0864,              0.0012476,              0.0012476,              0.0012476
                     40,                0.39711,                0.37429,                0.95276,                0.83551,                0.76596,                0.86537,                0.73471,                0.56511,                0.73711,                 1.0783,              0.0012278,              0.0012278,              0.0012278
                     41,                0.40267,                0.34316,                 0.9431,                0.83113,                0.85106,                0.91037,                0.77004,                0.58662,                0.63989,                 1.0972,               0.001208,               0.001208,               0.001208
                     42,                0.36983,                0.32147,                0.93395,                0.90109,                0.85106,                 0.9198,                 0.7879,                0.60964,                0.66058,                 1.1336,              0.0011882,              0.0011882,              0.0011882
                     43,                0.41221,                0.33533,                0.94278,                0.85398,                0.89362,                 0.9143,                0.74432,                0.69146,                0.76665,                 1.2144,              0.0011684,              0.0011684,              0.0011684
                     44,                0.37671,                0.34008,                0.93644,                0.87049,                0.89362,                0.90783,                0.75946,                0.64519,                0.71405,                 1.1889,              0.0011486,              0.0011486,              0.0011486
                     45,                0.38465,                0.33519,                0.94276,                 0.9072,                0.89362,                0.90684,                0.76115,                 0.6536,                0.72668,                 1.2021,              0.0011288,              0.0011288,              0.0011288
                     46,                0.39313,                 0.3454,                 0.9622,                 0.9037,                0.85106,                0.89646,                0.76025,                 0.6447,                0.65315,                  1.147,               0.001109,               0.001109,               0.001109
                     47,                0.38126,                0.33917,                0.91698,                 0.8791,                0.92835,                0.89631,                0.78196,                0.58722,                0.50617,                 1.0794,              0.0010892,              0.0010892,              0.0010892
                     48,                0.36555,                0.31663,                0.93055,                0.93303,                0.93617,                0.89904,                0.78046,                0.56879,                0.48076,                 1.0502,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.4097,                0.33126,                0.94093,                0.89755,                0.93617,                0.89675,                0.79253,                0.56414,                0.49251,                 1.0426,              0.0010496,              0.0010496,              0.0010496
                     50,                0.38254,                0.32489,                0.92453,                0.93741,                0.95599,                0.94078,                0.80488,                0.56822,                0.53988,                  1.046,              0.0010298,              0.0010298,              0.0010298
                     51,                0.36641,                0.31961,                0.93564,                0.89568,                0.91489,                0.93607,                 0.8032,                0.59561,                0.60258,                 1.0777,                0.00101,                0.00101,                0.00101
                     52,                0.38302,                0.33447,                0.94032,                0.83629,                0.87234,                0.89624,                0.77382,                 0.6224,                0.67339,                  1.118,              0.0009902,              0.0009902,              0.0009902
                     53,                0.38021,                0.31096,                0.93358,                0.86942,                0.87234,                0.90685,                 0.7869,                0.61943,                 0.6676,                 1.0856,              0.0009704,              0.0009704,              0.0009704
                     54,                0.36253,                0.30685,                0.92186,                0.93155,                0.86869,                0.93452,                0.81052,                0.59104,                 0.5563,                 1.0418,              0.0009506,              0.0009506,              0.0009506
                     55,                0.38715,                0.31957,                0.94471,                0.93297,                0.93617,                0.94308,                0.81424,                0.58752,                0.47724,                 1.0567,              0.0009308,              0.0009308,              0.0009308
                     56,                0.33551,                0.28519,                0.90964,                0.87396,                0.88526,                0.93543,                0.80966,                0.57995,                0.49957,                 1.0528,               0.000911,               0.000911,               0.000911
                     57,                0.34477,                0.29386,                0.91827,                0.92822,                0.87234,                0.94254,                0.82428,                0.58982,                0.49863,                 1.0501,              0.0008912,              0.0008912,              0.0008912
                     58,                0.32212,                0.27743,                 0.9169,                0.92108,                0.89362,                0.93233,                0.81581,                  0.589,                0.55203,                 1.0497,              0.0008714,              0.0008714,              0.0008714
                     59,                0.32234,                0.28473,                0.90094,                0.93614,                0.93577,                0.94125,                0.83275,                0.53742,                0.47797,                 1.0039,              0.0008516,              0.0008516,              0.0008516
                     60,                0.33686,                0.30048,                0.92651,                 0.9183,                 0.9566,                0.94306,                0.84389,                0.54241,                0.45656,                 1.0212,              0.0008318,              0.0008318,              0.0008318
                     61,                0.35627,                0.30357,                0.93767,                  0.912,                0.93617,                 0.9293,                0.82822,                0.55921,                0.47596,                 1.0383,               0.000812,               0.000812,               0.000812
                     62,                0.36594,                  0.325,                0.92662,                0.89557,                0.95745,                0.92805,                 0.8089,                0.59172,                0.48351,                 1.0768,              0.0007922,              0.0007922,              0.0007922
                     63,                0.32662,                0.28877,                0.91672,                0.90122,                 0.9707,                0.95296,                0.81853,                0.58043,                0.47909,                 1.0748,              0.0007724,              0.0007724,              0.0007724
                     64,                0.32614,                0.29846,                0.92848,                0.89773,                0.93389,                0.94579,                0.80428,                0.62648,                 0.5612,                  1.146,              0.0007526,              0.0007526,              0.0007526
                     65,                0.32798,                0.28453,                0.90787,                0.89458,                0.93617,                0.94159,                0.80195,                0.64509,                0.57213,                 1.1499,              0.0007328,              0.0007328,              0.0007328
                     66,                0.33174,                0.28435,                 0.9135,                0.93416,                0.93617,                0.93764,                0.80516,                0.59281,                0.52283,                 1.0762,               0.000713,               0.000713,               0.000713
                     67,                0.31886,                0.29624,                0.91256,                0.89415,                0.91489,                0.91877,                0.81304,                0.53866,                0.49043,                 1.0342,              0.0006932,              0.0006932,              0.0006932
                     68,                0.34092,                0.28493,                 0.9169,                0.80245,                0.95077,                 0.9259,                0.79568,                0.53699,                0.54495,                 1.0123,              0.0006734,              0.0006734,              0.0006734
                     69,                0.33169,                 0.2865,                0.91186,                 0.9086,                0.84612,                0.89903,                0.79242,                0.52284,                0.52336,                0.99955,              0.0006536,              0.0006536,              0.0006536
                     70,                0.31127,                0.28074,                0.92152,                0.93328,                0.89287,                0.91447,                0.80271,                0.50182,                0.51873,                0.99446,              0.0006338,              0.0006338,              0.0006338
                     71,                0.31149,                0.26774,                0.90585,                0.87466,                0.93617,                0.92248,                0.83918,                0.48592,                0.51023,                0.99862,               0.000614,               0.000614,               0.000614
                     72,                0.31916,                0.26575,                0.91935,                0.86128,                0.93617,                0.92434,                0.83616,                0.49876,                0.46456,                 1.0115,              0.0005942,              0.0005942,              0.0005942
                     73,                0.31898,                0.26571,                 0.9109,                0.85918,                0.93617,                0.93598,                0.84451,                0.49404,                0.45782,                0.99449,              0.0005744,              0.0005744,              0.0005744
                     74,                0.30033,                0.25451,                 0.9018,                0.84514,                0.91489,                 0.9326,                0.83991,                0.50379,                0.50336,                0.99768,              0.0005546,              0.0005546,              0.0005546
                     75,                0.29437,                0.25968,                 0.9014,                0.89552,                0.91193,                0.91759,                0.82289,                0.52337,                0.55419,                 1.0056,              0.0005348,              0.0005348,              0.0005348
                     76,                0.30777,                0.25829,                0.90146,                0.87543,                0.91489,                0.91631,                0.82161,                0.55412,                0.51033,                 1.0412,               0.000515,               0.000515,               0.000515
                     77,                0.31296,                0.26278,                0.90515,                0.85949,                0.91489,                0.91092,                0.81546,                0.57427,                0.50148,                 1.0515,              0.0004952,              0.0004952,              0.0004952
                     78,                0.31156,                0.27934,                0.91671,                 0.8729,                0.89362,                0.90592,                0.80077,                0.57737,                0.51898,                 1.0769,              0.0004754,              0.0004754,              0.0004754
                     79,                0.29867,                0.24563,                0.88765,                0.91277,                0.89062,                0.91028,                0.82295,                0.56613,                0.51424,                 1.0644,              0.0004556,              0.0004556,              0.0004556
                     80,                0.30383,                0.26013,                0.89528,                0.92461,                0.89362,                0.91217,                0.81948,                0.53637,                0.49965,                 1.0308,              0.0004358,              0.0004358,              0.0004358
                     81,                0.30227,                0.25153,                0.91973,                0.95113,                0.89362,                0.94219,                0.83392,                0.53067,                0.50003,                 1.0237,               0.000416,               0.000416,               0.000416
